[00:01:32] 1,1,1,1,0,0,Information Log
[00:01:33] Escort,93.15,False,6.67,0,MG Log
[00:01:33] 1,1,1,1,0,0,Information Log
[00:01:34] Escort,94.16,False,6.67,0,MG Log
[00:01:34] 1,1,1,1,0,0,Information Log
[00:01:34] 94.69,morning,Ramattra,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,20,0,0,390,450,Player Log
[00:01:35] Escort,95.17,False,6.67,0,MG Log
[00:01:35] 1,1,1,1,0,0,Information Log
[00:01:36] Escort,96.18,False,6.67,0,MG Log
[00:01:36] 1,1,1,1,0,0,Information Log
[00:01:37] Escort,97.18,False,6.67,0,MG Log
[00:01:37] 1,1,1,1,0,0,Information Log
[00:01:38] Escort,98.19,False,6.67,0,MG Log
[00:01:38] 1,1,1,1,0,0,Information Log
[00:01:38] 98.67,Coronet,Lúcio,60,0,0,208.50,0,0,0,0,0,60.00,0,0,0,0,0,16,0,4.15,71.90,200,Player Log
[00:01:39] Escort,99.20,False,6.67,0,MG Log
[00:01:39] 1,1,1,1,0,0,Information Log
[00:01:40] Escort,100.21,False,6.67,0,MG Log
[00:01:40] 1,1,1,1,0,0,Information Log
[00:01:41] Escort,101.21,False,6.67,0,MG Log
[00:01:41] 1,1,1,1,0,0,Information Log
[00:01:42] Escort,102.22,False,6.67,0,MG Log
[00:01:42] 1,1,1,1,0,0,Information Log
[00:01:42] 102.69,morning,Ramattra,244.50,0,0,60,0,0,0,0,0,0,0,0,0,0,0,32,0,0,390,450,Player Log
[00:01:43] Escort,103.23,False,6.67,0,MG Log
[00:01:43] 1,1,1,1,0,0,Information Log
[00:01:44] Escort,104.24,False,6.67,0,MG Log
[00:01:44] 1,1,1,1,0,0,Information Log
[00:01:45] Escort,105.25,False,6.67,0,MG Log
[00:01:45] 1,1,1,1,0,0,Information Log
[00:01:46] Escort,106.25,False,6.67,0,MG Log
[00:01:46] 1,1,1,1,0,0,Information Log
[00:01:46] 106.67,Coronet,Lúcio,140,0,0,244.50,0,0,0,0,0,181.14,0,0,0,0,0,23,0,0,200,200,Player Log
[00:01:47] Escort,107.26,False,6.67,0,MG Log
[00:01:47] 1,1,1,1,0,0,Information Log
[00:01:48] Escort,108.27,False,6.67,0,MG Log
[00:01:48] 1,1,1,1,0,0,Information Log
[00:01:49] Escort,109.28,False,6.67,0,MG Log
[00:01:49] 1,1,1,1,0,0,Information Log
[00:01:50] Escort,110.29,False,6.67,0,MG Log
[00:01:50] 1,1,1,1,0,0,Information Log
[00:01:50] 110.69,morning,Ramattra,244.50,0,0,140,0,0,0,0,0,0,0,0,0,0,0,34,0,0,310,450,Player Log
[00:01:51] Escort,111.29,False,6.67,0,MG Log
[00:01:51] 1,1,1,1,0,0,Information Log
[00:01:52] Escort,112.30,False,6.67,0,MG Log
[00:01:52] 1,1,1,1,0,0,Information Log
[00:01:53] Escort,113.31,False,6.67,0,MG Log
[00:01:53] 1,1,1,1,0,0,Information Log
[00:01:54] Escort,114.32,False,6.67,0,MG Log
[00:01:54] 1,1,1,1,0,0,Information Log
[00:01:54] 114.67,Coronet,Lúcio,140,0,0,244.50,0,0,0,0,0,181.14,0,0,0,0,0,24,0,0,200,200,Player Log
[00:01:55] Escort,115.33,False,6.67,0,MG Log
[00:01:55] 1,1,1,1,0,0,Information Log
[00:01:56] Escort,116.33,False,6.67,0,MG Log
[00:01:56] 1,1,1,1,0,0,Information Log
[00:01:57] Escort,117.34,False,6.67,0,MG Log
[00:01:57] 1,1,1,1,0,0,Information Log
[00:01:58] Escort,118.35,False,6.67,0,MG Log
[00:01:58] 1,1,1,1,0,0,Information Log
[00:01:58] 118.69,morning,Ramattra,244.50,0,0,140,0,0,0,0,0,0,0,0,0,0,0,36,0,0,310,450,Player Log
[00:01:59] Escort,119.36,False,6.67,0,MG Log
[00:01:59] 1,1,1,1,0,0,Information Log
[00:02:00] Escort,120.37,False,6.67,0,MG Log
[00:02:00] 1,1,1,1,0,0,Information Log
[00:02:01] Escort,121.38,False,6.67,0,MG Log
[00:02:01] 1,1,1,1,0,0,Information Log
[00:02:02] Escort,122.38,False,6.67,0,MG Log
[00:02:02] 1,1,1,1,0,0,Information Log
