[00:01:44] Lijiang Tower,BoomBoomPow,[DE] Supernova,0,8
[00:01:44] Geumeon,Coronet,HOUSE,RAT,ENIGMA,0,Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0
[00:02:36] 156.10,ENIGMA,Kiriko,96,120,0,498.41,1,0,0,0,0,811.59,0,0,0,0,0,41,1.69,12.61,44.67,200,Player Log
[00:02:36] 156.90,Chappadoodle,Winston,613.04,242.77,770.00,851.86,1,3,1,0,0,0,0,0,0,0,0,46,0,6.56,395.59,550,Player Log
[00:02:37] 157.46,FinalBlow,mmmatt,ENIGMA,Primary Fire
[00:02:37] 157.70,Bunny,Sombra,706.73,669.63,0,236.39,0,3,1,0,0,0,0,0,0,0,0,65,0,0,144.06,200,Player Log
[00:02:38] 158.49,mmmatt,Reaper,1147.73,593.55,0,843.10,0,6,3,0,0,137.38,1,0,0,0,784.11,64,0,0,191.01,250,Player Log
[00:02:39] 159.29,Muttnik,Lúcio,476.29,60,0,99.24,0,2,1,0,0,466.02,1,0,0,0,0,44,0,0,200,200,Player Log
[00:02:39] 159.87,Suicide,Coronet
[00:02:40] 160.10,LiamFox,Ana,574.28,0,0,405.78,1,4,0,0,0,714.95,1,0,0,0,0,68,0,0,200,200,Player Log
[00:02:40] Control,160.88,0,9.44,False,[DE] Supernova,0,MG Log
[00:02:40] 0,1,0,0,Information Log
[00:02:40] 160.93,Geumeon,Winston,856.44,160.36,1565.95,1314.31,1,2,0,0,0,0,0,0,0,0,0,60,0,0,550,550,Player Log
[00:02:41] 161.70,Coronet,Sombra,469.54,240,0,652.29,2,1,0,1,0,131.59,0,0,0,0,0,47,1.40,0,0,200,Player Log
[00:02:42] 162.49,HOUSE,Reaper,396.27,102.60,0,777.77,2,1,0,0,0,39.22,0,0,0,0,277.77,31,0,1.04,0,250,Player Log
[00:02:43] 163.29,RAT,Lúcio,590.12,147.04,0,386.16,1,2,2,1,0,547.95,0,0,0,0,0,52,0,0,200,200,Player Log
[00:02:44] 164.10,ENIGMA,Kiriko,124,120,0,579.74,2,0,0,0,0,811.59,0,0,0,0,0,44,0,4.61,0,200,Player Log
[00:02:44] 164.90,Chappadoodle,Winston,663.04,242.77,770.00,851.86,1,4,1,0,0,0,0,0,0,0,0,51,0.01,0,538.43,550,Player Log
[00:02:45] 165.70,Bunny,Sombra,706.73,669.63,0,236.39,0,4,1,0,0,0,0,0,0,0,0,68,0,3.67,200,200,Player Log
[00:02:46] 166.49,mmmatt,Reaper,1147.73,593.55,0,843.10,0,6,3,0,0,137.38,1,0,0,0,843.10,66,2.56,7.38,250,250,Player Log
[00:02:47] 167.29,Muttnik,Lúcio,476.29,60,0,99.24,0,3,1,0,0,554.90,1,0,0,0,0,49,0,0,200,200,Player Log
[00:02:48] 168.10,LiamFox,Ana,574.28,0,0,405.78,1,4,0,0,0,839.47,1,0,0,0,0,75,0,0,200,200,Player Log
[00:02:48] Control,168.88,0,16.11,False,[DE] Supernova,0,MG Log
[00:02:48] 0,1,0,0,Information Log
[00:02:48] 168.93,Geumeon,Winston,856.44,160.36,1565.95,1340.56,1,2,0,0,0,0,0,0,0,0,0,62,0,0,508,550,Player Log
[00:02:49] 169.70,Coronet,Sombra,469.54,240,0,652.29,2,1,0,1,0,131.59,0,0,0,0,0,50,0,0,0,200,Player Log
[00:02:50] 170.49,HOUSE,Reaper,397.89,102.60,0,777.77,2,1,0,0,0,39.22,0,0,0,0,277.77,33,0,0,250,250,Player Log
[00:02:51] 171.29,RAT,Lúcio,590.12,147.04,0,386.16,1,2,2,1,0,547.95,0,0,0,0,0,54,0,0,200,200,Player Log
[00:02:52] 172.10,ENIGMA,Kiriko,124,120,0,579.74,2,0,0,0,0,863.59,0,0,0,0,0,47,4.52,0,200,200,Player Log
[00:02:52] 172.90,Chappadoodle,Winston,663.04,242.77,770.00,851.86,1,4,1,0,0,0,0,0,0,0,0,53,0,0,550,550,Player Log
[00:02:53] 173.70,Bunny,Sombra,848.48,669.63,0,308.21,0,4,1,0,0,0,0,0,0,0,0,78,0.70,0,200,200,Player Log
[00:02:54] 174.49,mmmatt,Reaper,1159.07,593.55,0,843.10,0,6,3,0,0,137.38,1,0,0,0,843.10,69,0,0,250,250,Player Log
[00:02:55] 175.29,Muttnik,Lúcio,630.29,60,0,99.24,0,3,1,0,0,554.90,1,0,0,0,0,57,0.11,0,200,200,Player Log
[00:02:56] 176.10,LiamFox,Ana,574.28,0,0,405.78,1,4,0,0,0,839.47,1,0,0,0,0,77,0,0,200,200,Player Log
[00:02:56] Control,176.88,0,22.77,False,[DE] Supernova,0,MG Log
[00:02:56] 0,1,0,0,Information Log
[00:02:56] 176.93,Geumeon,Winston,856.44,160.36,1565.95,1476.87,1,2,0,0,0,0,0,0,0,0,0,64,0,0,510.39,550,Player Log
