[00:03:14] Blizzard World,BoomBoomPow,[DE] Supernova,0,8
[00:03:14] Geumeon,Apollo,HOUSE,RAT,ENIGMA,0,Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0
[00:04:26] 266.59,Geumeon,Winston,429.09,0,650,1808.62,1,0,0,0,0,0,0,0,0,0,0,39,4.43,0,550,550,Player Log
[00:04:27] 267.38,Apollo,Cassidy,1233.23,0,0,544.61,0,2,0,0,0,0,1,0,0,0,0,75,0,0,150,225,Player Log
[00:04:28] 268.17,HOUSE,Tracer,554.12,0,0,352.77,1,1,1,0,0,0,0,0,0,0,0,69,0,0,133.50,150,Player Log
[00:04:28] 268.93,FinalBlow,Apollo,LiamFox,Ability 2
[00:04:28] 268.98,RAT,Brigitte,741.66,0,411.50,565.93,0,2,1,0,1,1353.34,1,1,0,0,0,89,0,0,144.87,200,Player Log
[00:04:29] 269.77,ENIGMA,Ana,168.50,0,0,850.42,1,0,0,0,0,1698.29,0,0,0,0,0,88,0,0,200,200,Player Log
[00:04:30] 270.58,Chappadoodle,D.Va,773.08,338,652,1702.17,1,2,0,1,0,0,1,0,0,0,0,64,2.18,0,650,650,Player Log
[00:04:31] 271.38,Bunny,Sombra,855.24,260.77,0,614.10,1,2,1,0,0,0,1,0,0,0,0,74,0,0,200,200,Player Log
[00:04:32] 272.17,mmmatt,Tracer,1316.24,60.50,0,444.50,0,1,1,0,0,0,0,0,1,1,0,9,0,0,150,150,Player Log
[00:04:32] 272.98,Muttnik,Zenyatta,734.40,288,0,447.61,1,1,0,0,0,527.04,1,0,0,0,0,58,0,0,0,200,Player Log
[00:04:33] 273.77,LiamFox,Ana,587.98,114.23,0,234.54,1,1,1,0,0,878.66,0,0,0,0,0,78,8.43,0.86,0,200,Player Log
[00:04:34] Hybrid,274.56,False,51.58,0,0,MG Log
[00:04:34] 0,1,0,0,Information Log
[00:04:34] 274.59,Geumeon,Winston,429.09,0,650,1808.62,1,0,0,0,0,0,0,0,0,0,0,42,1.67,0,550,550,Player Log
[00:04:35] 275.09,FinalBlow,HOUSE,mmmatt,Melee
[00:04:35] 275.38,Apollo,Cassidy,1398.23,0,0,692.46,0,3,1,0,0,0,2,0,0,0,0,86,0.00,2.56,202.15,225,Player Log
[00:04:36] 276.17,HOUSE,Tracer,621.64,0,0,418.51,1,2,2,0,0,0,0,0,0,0,0,78,0,0,150,150,Player Log
[00:04:36] 276.98,RAT,Brigitte,811.66,0,411.50,565.93,0,3,1,0,1,1614.79,2,1,0,0,0,99,2.51,0,200,200,Player Log
[00:04:37] 277.77,ENIGMA,Ana,168.50,0,0,850.42,1,0,0,0,0,1698.29,0,0,0,0,0,90,0,0,200,200,Player Log
[00:04:38] 278.58,Chappadoodle,D.Va,773.92,338,652,1702.17,1,2,0,1,0,0,1,0,0,0,0,67,0,0,650,650,Player Log
[00:04:39] 279.38,Bunny,Sombra,855.24,260.77,0,614.10,1,2,1,0,0,0,1,0,0,0,0,77,0,0,200,200,Player Log
[00:04:40] 280.17,mmmatt,Tracer,1352.74,60.50,0,594.50,1,1,1,0,0,0,0,0,1,1,0,15,0,0,0,150,Player Log
[00:04:40] 280.98,Muttnik,Zenyatta,734.40,288,0,447.61,1,1,0,0,0,527.04,1,0,0,0,0,60,0,0,200,200,Player Log
