[00:01:45] Blizzard World,BoomBoomPow,[DE] Supernova,0,8
[00:01:45] Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0,Geumeon,Apollo,HOUSE,RAT,ENIGMA,0
[00:02:42] 162.06,Bunny,Hanzo,162.60,429.80,0,181.95,0,0,0,0,0,0,0,0,0,0,0,26,7.97,7.89,186.53,200,Player Log
[00:02:42] 162.86,mmmatt,Tracer,110.67,6.60,0,45.30,0,0,0,0,0,0,0,0,0,0,0,29,0,0,104.70,150,Player Log
[00:02:43] 163.66,Muttnik,Zenyatta,235.20,192,0,308.19,0,0,0,0,0,559.25,0,0,0,0,0,37,0,0,200,200,Player Log
[00:02:44] 164.46,LiamFox,Ana,199.50,60,0,70.66,0,0,0,0,0,1125.36,0,0,0,0,0,60,6.38,0,200,200,Player Log
[00:02:45] 165.26,Geumeon,Winston,606.89,0,650,1127.37,0,0,0,0,0,0,0,0,0,0,0,43,3.64,11.52,485.51,550,Player Log
[00:02:46] 166.06,Apollo,Cassidy,1049.18,0,0,110.95,0,0,0,0,0,0,0,0,0,0,0,61,0,0,225,225,Player Log
[00:02:46] 166.86,HOUSE,Tracer,381.75,0,0,106.00,0,0,0,0,0,0,0,0,0,0,0,47,0,0,150,150,Player Log
[00:02:47] 167.66,RAT,Brigitte,0,0,312.18,59.17,0,0,0,0,0,669.04,0,0,0,0,0,30,0.62,0,200,200,Player Log
[00:02:48] 168.46,ENIGMA,Ana,286.26,0,0,7.32,0,0,0,0,0,595.77,0,0,0,0,0,44,0,0,200,200,Player Log
[00:02:49] Hybrid,169.25,False,12.01,0,0,MG Log
[00:02:49] 0,1,0,0,Information Log
[00:02:49] 169.29,Chappadoodle,D.Va,767.24,615.68,465.50,1699.59,0,0,0,0,0,0,0,0,0,0,0,56,1.92,0,489.57,650,Player Log
[00:02:50] 170.06,Bunny,Hanzo,162.60,429.80,0,386.58,0,0,0,0,0,0,0,0,0,0,0,28,0,0,180.80,200,Player Log
[00:02:50] 170.86,mmmatt,Tracer,189.04,6.60,0,61.80,0,0,0,0,0,0,0,0,0,0,0,38,0,0,150,150,Player Log
[00:02:51] 171.66,Muttnik,Zenyatta,235.20,192,0,308.19,0,0,0,0,0,621.05,0,0,0,0,0,42,0,0,200,200,Player Log
[00:02:52] 172.46,LiamFox,Ana,259.50,144.60,0,70.66,0,0,0,0,0,1425.36,0,0,0,0,0,74,0,8.49,200,200,Player Log
[00:02:53] 173.26,Geumeon,Winston,828.83,0,1300.00,1239.57,0,0,0,0,0,0,0,0,0,0,0,56,1.54,3.52,370.66,550,Player Log
[00:02:54] 174.06,Apollo,Cassidy,1130.76,0,0,110.95,0,0,0,0,0,0,0,0,0,0,0,67,4.42,4.71,225,225,Player Log
[00:02:54] 174.86,HOUSE,Tracer,448.06,0,0,244.37,0,0,0,0,0,0,0,0,0,0,0,55,0,0,150,150,Player Log
[00:02:55] 175.66,RAT,Brigitte,0,0,377.18,59.17,0,0,0,0,0,777.72,0,0,0,0,0,36,0,0,200,200,Player Log
[00:02:56] 176.46,ENIGMA,Ana,286.26,0,0,67.32,0,0,0,0,0,918.71,0,0,0,0,0,58,0,9.50,171.68,200,Player Log
[00:02:57] Hybrid,177.25,False,37.42,0,0,MG Log
[00:02:57] 0,1,0,0,Information Log
[00:02:57] 177.29,Chappadoodle,D.Va,861.61,799.68,465.50,1898.27,0,0,0,0,0,0,0,0,0,0,0,63,3.97,0,650,650,Player Log
[00:02:58] 178.06,Bunny,Hanzo,290.28,612.20,0,386.58,0,0,0,0,0,0,0,0,0,0,0,36,5.68,6.62,180.80,200,Player Log
[00:02:58] 178.86,mmmatt,Tracer,223.01,123.02,0,61.80,0,0,0,0,0,0,0,0,0,0,0,44,0,0,150,150,Player Log
[00:02:59] 179.66,Muttnik,Zenyatta,295.20,192,0,342.99,0,0,0,0,0,668.57,0,0,0,0,0,47,0,0,200,200,Player Log
[00:03:00] 180.46,LiamFox,Ana,263,144.60,0,159.19,0,0,0,0,0,1863.83,0,0,0,0,0,90,11.99,0.49,125.88,200,Player Log
[00:03:01] 181.26,Geumeon,Winston,1002.11,0,1677.00,1873.29,0,0,0,0,0,0,0,0,0,0,0,67,0,7.84,421.09,550,Player Log
[00:03:02] 182.06,Apollo,Cassidy,1312.16,0,0,110.95,0,0,0,0,0,0,0,0,0,0,0,75,0,0,225,225,Player Log
[00:03:02] 182.86,HOUSE,Tracer,493.72,0,0,247.07,0,0,0,0,0,0,0,0,0,0,0,62,0,0,150,150,Player Log
[00:03:03] 183.66,RAT,Brigitte,0,0,551.01,59.17,0,0,0,0,0,1035.59,0,0,0,0,0,45,0.33,0,200,200,Player Log
[00:03:04] 184.46,ENIGMA,Ana,286.26,0,0,67.32,0,0,0,0,0,1240.71,0,0,0,0,0,68,9.43,1.50,200,200,Player Log
[00:03:05] Hybrid,185.25,False,58.95,0,0,MG Log
[00:03:05] 0,1,0,0,Information Log
[00:03:05] 185.29,Chappadoodle,D.Va,1103.10,1126.20,675.50,2134.56,0,0,0,0,0,0,0,0,0,0,0,77,0,0,616,650,Player Log
[00:03:06] 186.06,Bunny,Hanzo,367.86,737.20,0,451.92,0,0,0,0,0,0,0,0,0,0,0,42,10.96,0,183.13,200,Player Log
[00:03:06] 186.86,mmmatt,Tracer,471.37,153.02,0,98.28,0,0,0,0,0,0,0,0,0,0,0,61,0,0,150,150,Player Log
[00:03:07] 187.66,Muttnik,Zenyatta,295.20,192,0,342.99,0,0,0,0,0,816.20,0,0,0,0,0,55,0,0,200,200,Player Log
[00:03:08] 188.46,LiamFox,Ana,375.50,144.60,0,291.53,0,0,0,0,0,2170.29,0,0,1,1,0,0,3.99,7.45,67.65,200,Player Log
[00:03:08] 188.46,FinalBlow,Chappadoodle,Geumeon,Melee
[00:03:09] 189.26,Geumeon,Winston,1134.81,0,1802.00,2423.29,1,0,0,0,0,0,0,0,0,0,0,76,1.91,0,0,550,Player Log
[00:03:09] 189.50,FinalBlow,Apollo,LiamFox,Primary Fire
[00:03:10] 190.06,Apollo,Cassidy,1364.89,0,0,124.49,0,1,1,0,0,0,1,0,0,0,0,82,0,0,211.46,225,Player Log
[00:03:10] 190.10,FinalBlow,Muttnik,HOUSE,Secondary Fire
