[00:01:12] Havana,DinnerTime,LeylineFirebird,0,8
[00:01:12] morning,Parallaxian,TOPSPEED,mobee01,Lex,0,Vulpie,Pocky,Dreamer,Raven,Snafucius,0
[00:02:00] 0,1,0,0,Information Log
[00:02:01] 121.01,morning,Sigma,289.70,0,1150.08,432.50,0,0,0,0,0,0,0,0,0,0,0,25,0,1.79,550,550,Player Log
[00:02:01] 121.79,Parallaxian,Hanzo,644.89,0,0,248.02,0,1,1,0,0,0,0,0,0,0,0,50,10.96,5.30,200,200,Player Log
[00:02:02] 122.59,TOPSPEED,Mercy,0,0,0,0,0,0,0,0,0,242.95,0,0,0,0,0,25,0,0,200,200,Player Log
[00:02:03] 123.39,mobee01,Ana,470.44,0,0,139.57,0,1,1,0,0,465.10,0,0,0,0,0,47,0,0,200,200,Player Log
[00:02:04] 124.19,Lex,Ashe,489.50,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0.30,200,200,Player Log
[00:02:04] 124.99,Vulpie,Wrecking Ball,202.07,0,0,920.16,1,0,0,0,0,0,0,0,0,0,0,26,0,2.10,0,700,Player Log
[00:02:05] 125.79,Pocky,Widowmaker,248.02,214.80,0,250,1,0,0,0,0,0,0,0,0,0,0,32,2.21,0,175,175,Player Log
[00:02:06] 126.59,Dreamer,Baptiste,125,400,0,110,0,0,0,0,0,419.22,0,0,0,0,0,32,0.21,0,200,200,Player Log
[00:02:07] 127.39,Raven,Hanzo,125,358.60,0,549.36,0,0,0,0,0,0,0,0,0,0,0,20,2.74,0,200,200,Player Log
[00:02:08] 128.19,Snafucius,Zenyatta,120,176.68,0,65,0,0,0,0,0,339.34,0,0,0,0,0,28,0,0,200,200,Player Log
[00:02:08] Escort,128.98,False,8.97,0,MG Log
[00:02:08] 0,1,0,0,Information Log
[00:02:09] 129.01,morning,Sigma,289.70,0,1150.08,432.50,0,0,0,0,0,0,0,0,0,0,0,27,0,0,550,550,Player Log
[00:02:09] 129.79,Parallaxian,Hanzo,644.89,0,0,248.02,0,1,1,0,0,0,0,0,0,0,0,52,2.96,0,200,200,Player Log
[00:02:10] 130.59,TOPSPEED,Mercy,0,0,0,0,0,0,0,0,0,242.95,0,0,0,0,0,27,0,0,200,200,Player Log
[00:02:11] 131.39,mobee01,Ana,470.44,0,0,139.57,0,1,1,0,0,465.10,0,0,0,0,0,48,0,0,200,200,Player Log
[00:02:12] 132.19,Lex,Ashe,489.50,0,0,0,0,2,0,0,0,0,0,0,0,0,0,27,0,8.63,200,200,Player Log
[00:02:12] 132.99,Vulpie,Wrecking Ball,202.07,0,0,920.16,1,0,0,0,0,0,0,0,0,0,0,28,0,0,700,700,Player Log
[00:02:13] 133.79,Pocky,Widowmaker,248.02,214.80,0,250,1,0,0,0,0,0,0,0,0,0,0,35,0,0,175,175,Player Log
[00:02:14] 134.59,Dreamer,Baptiste,175,400,0,110,0,0,0,0,0,419.22,0,0,0,0,0,36,0,0,200,200,Player Log
[00:02:15] 135.39,Raven,Hanzo,125,358.60,0,549.36,0,0,0,0,0,0,0,0,0,0,0,22,0,0,200,200,Player Log
[00:02:16] 136.19,Snafucius,Zenyatta,120,176.68,0,65,0,0,0,0,0,339.34,0,0,0,0,0,30,0,0,200,200,Player Log
[00:02:16] Escort,136.98,False,8.22,0,MG Log
[00:02:16] 0,1,0,0,Information Log
[00:02:17] 137.01,morning,Sigma,317.31,0,1150.08,557.50,0,0,0,0,0,0,0,0,0,0,0,30,0,0,550,550,Player Log
[00:02:17] 137.79,Parallaxian,Hanzo,644.89,0,0,248.02,0,1,1,0,0,0,0,0,0,0,0,55,8.06,3.86,101.48,200,Player Log
